Z,mus,mup,mum,phis,phip,phim
0.7531,0.0188130388455395,-6.33376928446772,-5.63753018827393,0.950822205282804,0.00174620815596853,0.00350333809463235
0.7533,0.0188130451806532,-6.33376928444208,-5.63753018889642,0.950822265280595,0.00174620780490119,0.00350333546296282
0.7535,0.0188130515157979,-6.33376928441698,-5.63753018951891,0.9508223186422,0.00174620752650939,0.00350333315361634
0.7537,0.018813057850921,-6.33376928439145,-5.63753019014134,0.950822366315478,0.00174620731041234,0.00350333112055454
0.7539,0.0188130641860471,-6.3337692843659,-5.63753019076402,0.950822409112893,0.00174620714771319,0.00350332932431628
0.7541,0.0188130705211909,-6.33376928434074,-5.6375301913865,0.950822447730857,0.00174620703078636,0.00350332773107754
0.7543,0.018813076856315,-6.33376928431491,-5.63753019200904,0.950822482766296,0.00174620695309404,0.00350332631184464
0.7545,0.0188130831914515,-6.33376928428965,-5.63753019263154,0.950822514730869,0.00174620690903302,0.00350332504176627
0.7547,0.0188130895265929,-6.33376928426379,-5.63753019325416,0.950822544063139,0.00174620689380137,0.00350332389954208
0.7549,0.0188130958617282,-6.33376928423812,-5.63753019387689,0.950822571139011,0.00174620690328078,0.00350332286691261
0.7551,0.0188131021968672,-6.33376928421276,-5.63753019449936,0.950822596280685,0.0017462069339435,0.00350332192822919
0.7553,0.018813108531997,-6.3337692841875,-5.63753019512178,0.950822619764322,0.00174620698276445,0.00350332107007789
0.7555,0.0188131148671455,-6.33376928416256,-5.63753019574436,0.950822641826615,0.0017462070471522,0.00350332028096299
0.7557,0.0188131212022743,-6.33376928413734,-5.63753019636708,0.950822662670428,0.00174620712488399,0.00350331955103031
0.7559,0.0188131275374013,-6.33376928411186,-5.6375301969897,0.95082268246962,0.00174620721405684,0.00350331887183633
0.7561,0.0188131338725411,-6.33376928408679,-5.63753019761236,0.950822701373186,0.00174620731303864,0.00350331823614389
0.7563,0.0188131402076644,-6.33376928406096,-5.63753019823495,0.950822719508804,0.00174620742043128,0.0035033176377518
0.7565,0.0188131465427853,-6.33376928403603,-5.63753019885752,0.950822736985871,0.00174620753503516,0.00350331707134512
0.7567,0.0188131528779117,-6.33376928401087,-5.63753019948026,0.950822753898109,0.00174620765582537,0.00350331653237309
0.7569,0.0188131592130333,-6.33376928398504,-5.63753020010278,0.950822770325797,0.00174620778192324,0.00350331601693696
0.7571,0.0188131655481653,-6.33376928396022,-5.63753020072546,0.950822786337679,0.00174620791257401,0.00350331552169605
0.7573,0.0188131718832734,-6.33376928393476,-5.63753020134795,0.950822801992603,0.00174620804713404,0.00350331504379285
0.7575,0.0188131782183801,-6.33376928390954,-5.63753020197072,0.950822817340919,0.00174620818505126,0.00350331458078118
0.7577,0.018813184553488,-6.33376928388401,-5.63753020259337,0.950822832425683,0.00174620832585542,0.00350331413057105
0.7579,0.0188131908885933,-6.333769283859,-5.63753020321613,0.950822847283673,0.00174620846914221,0.00350331369137462
0.7581,0.018813197223687,-6.33376928383329,-5.63753020383879,0.950822861946273,0.00174620861456925,0.0035033132616688
0.7583,0.0188132035587951,-6.3337692838087,-5.63753020446143,0.950822876440216,0.00174620876184267,0.00350331284015415
0.7585,0.0188132098938895,-6.33376928378299,-5.63753020508421,0.950822890788219,0.00174620891071486,0.00350331242572836
0.7587,0.01881321622899,-6.33376928375786,-5.63753020570674,0.950822905009527,0.00174620906097436,0.00350331201745607
0.7589,0.0188132225640902,-6.33376928373296,-5.63753020632949,0.950822919120368,0.00174620921244299,0.00350331161454859
0.7591,0.0188132288991585,-6.3337692837075,-5.6375302069522,0.950822933134343,0.00174620936497158,0.00350331121634518
0.7593,0.0188132352342501,-6.33376928368269,-5.63753020757505,0.950822947062747,0.00174620951843735,0.00350331082229806
0.7595,0.0188132415693275,-6.33376928365779,-5.63753020819764,0.950822960914837,0.00174620967273852,0.00350331043195719
0.7597,0.0188132479044016,-6.33376928363272,-5.63753020882035,0.950822974698057,0.0017462098277937,0.00350331004496123
0.7599,0.0188132542394907,-6.33376928360785,-5.63753020944315,0.950822988418208,0.00174620998353983,0.00350330966102875
0.7601,0.0188132605745545,-6.33376928358284,-5.63753021006576,0.950823002079594,0.0017462101399286,0.00350330927994972
0.7603,0.0188132669096219,-6.33376928355761,-5.63753021068852,0.950823015685117,0.0017462102969293,0.00350330890158409
0.7605,0.018813273244697,-6.3337692835325,-5.63753021131121,0.950823029236352,0.00174621045452472,0.00350330852585543
0.7607,0.0188132795797594,-6.3337692835075,-5.63753021193411,0.950823042733582,0.00174621061271046,0.00350330815274882
0.7609,0.0188132859148125,-6.33376928348262,-5.63753021255667,0.950823056175803,0.00174621077149833,0.00350330778231373
0.7611,0.018813292249874,-6.33376928345757,-5.63753021317953,0.950823069560704,0.00174621093091408,0.00350330741466283
0.7613,0.0188132985849198,-6.33376928343206,-5.63753021380236,0.95082308288461,0.00174621109099758,0.0035033070499743
0.7615,0.0188133049199797,-6.33376928340744,-5.63753021442533,0.950823096142393,0.00174621125180454,0.00350330668849677
0.7617,0.018813311255028,-6.33376928338275,-5.63753021504794,0.950823109327351,0.00174621141340894,0.00350330633055627
